"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"40","GB45987",26,25,48,52,35,32,43,98,72,40,49,54,-0.717870389535744,2.56702887216901,-3.15136067694264,0.00732118368710321,0.842367641608614,-4.2645088605961
"41","GB46290",71,121,169,114,87,159,77,77,43,58,92,65,0.75229944323119,3.53862052744123,2.66608072167921,0.018858631252846,0.842367641608614,-4.24677959741979
"42","GB46338",14,21,12,17,13,28,10,10,5,6,7,3,1.27728072842433,0.519945516410449,3.13120072472959,0.00761625587557919,0.842367641608614,-4.41549165651525
"43","GB46411",71,28,86,95,54,27,36,95,127,91,76,126,-0.722424676963353,3.16729021236738,-2.6520366422416,0.0193771700491649,0.842367641608614,-4.28924320415183
"44","GB46477",228,287,302,368,186,180,155,178,147,155,152,235,0.524335083436943,4.7601867619948,2.8852705051002,0.0123209516069053,0.842367641608614,-4.0365042463988
"45","GB46696",431,281,428,549,580,391,461,668,1008,490,479,689,-0.542150972374185,6.0792213944689,-3.05967292343856,0.00876186873417461,0.842367641608614,-3.98675621970664
"46","GB46765",9,1,5,10,6,17,13,12,19,10,14,15,-1.10855120210605,0.361536204483858,-2.66648654258592,0.0188438496612866,0.842367641608614,-4.45990671497485
"47","GB46975",12,25,41,30,29,19,7,13,7,16,13,26,0.889313857423773,1.23511719686596,2.73002964910749,0.0166632487926354,0.842367641608614,-4.4171367238087
"48","GB47508",25,18,52,86,87,28,28,67,106,70,81,126,-0.861364521781935,2.86383115964265,-2.61760494830745,0.0207077021045146,0.842367641608614,-4.3245374905963
"49","GB47691",1937,372,843,870,369,528,990,1938,1224,2575,1299,1112,-1.12951338815611,7.03186056692109,-2.88961973347315,0.0122168791193738,0.842367641608614,-4.11636636201151
"50","GB47848",86,50,113,170,130,89,109,150,191,113,135,229,-0.622251298220768,4.01006875957733,-3.41648986067972,0.00435374265123004,0.842367641608614,-3.99778193574356
"51","GB48011",9,28,14,12,10,16,9,8,4,2,6,9,1.11670039113464,0.310867413441825,2.58176986841889,0.0221863388155198,0.842367641608614,-4.4681906362767
"52","GB48024",3,2,10,14,8,17,6,10,33,20,18,23,-1.16891819794227,0.56768332253289,-2.77086852674491,0.01539384075356,0.842367641608614,-4.44398979283766
"53","GB48140",607,230,664,778,857,671,689,676,1215,849,711,1326,-0.631237462252434,6.56699972660581,-2.64162159201727,0.0197706308781405,0.842367641608614,-4.15014033212515
"54","GB48260",7028,2922,9701,14637,11750,4545,11301,22760,11444,15769,11773,16114,-1.04935174192912,10.4037055629019,-3.275177491093,0.00574317010911591,0.842367641608614,-4.26141234339121
"55","GB48555",52,18,65,68,34,32,49,117,130,72,50,65,-0.89805239091744,2.87723344993034,-3.14649466480263,0.00739134594367206,0.842367641608614,-4.23196738432954
"56","GB48577",152,43,101,211,111,172,152,243,270,190,142,264,-0.818871486810778,4.35731338010455,-3.28196387173981,0.00566725506324491,0.842367641608614,-3.97682039865703
"57","GB48857",243,212,314,336,177,199,141,226,197,163,155,217,0.360182063137545,4.78252929846371,2.59556807506729,0.021605283019525,0.842367641608614,-4.12472998465281
"58","GB48935",65,83,98,148,157,137,118,111,190,147,136,264,-0.559904585064494,4.09993071822572,-2.63656243875047,0.0199645430870806,0.842367641608614,-4.18196883489087
"59","GB48937",6653,1379,3382,3734,5627,8122,5180,11015,12791,11690,9573,17359,-1.38102351170883,9.77767983529223,-3.5981818626136,0.00305153470389733,0.842367641608614,-4.17716936367648
"60","GB49359",109,56,101,147,104,118,98,130,159,124,110,200,-0.438544548263057,3.94659506968177,-2.84802470499434,0.0132486550012872,0.842367641608614,-4.14542047425824
"61","GB49390",163,154,260,236,342,328,288,319,461,433,317,283,-0.596995723302277,5.23421499235818,-2.71638716425309,0.0171096434754817,0.842367641608614,-4.06874565448383
"62","GB49756",132,270,304,259,147,209,115,125,109,116,162,157,0.659037543974105,4.44631681728844,3.02141246081349,0.00944328262555682,0.842367641608614,-4.03329272669538
"63","GB49885",905,845,1159,1381,948,853,1007,1360,1589,921,1677,1346,-0.421836874526823,7.22462505369388,-2.71255575371423,0.0172370938080508,0.842367641608614,-4.17675306299847
